0seqname_firstname_last agstreet              city      state     zip       dollar              pick  date      0000000000000000000000000float00000000000000000000credt-card00000000000000000000000natural
0255Dora      Martinez  29Jajga Glen          Zuebebil  OK        62955     $6185.82            RED   07/28/19500000000000000813392054137.6512000000000000000201453001058286000000000000004367053112737792
0256Ada       Bell      65Jiso Point          Cortedhug MS        16074     $7525.69            YELLOW06/01/1993000000000000-425458763248.4352000000000000000030064447906025000000000000008455815625179136
0257Sara      Hardy     26Cucnak Mill         Sezfimov  IN        07577     $6763.04            GREEN 06/06/1920000000000000-240977094220.1856000000000000006011801426990664000000000000007036138998988800
0258Leonard   Poole     30Zago Junction       Daucigi   DC        31507     $448.35             RED   07/01/1927000000000000-122745084759.2448000000000000000030015541330975000000000000000575374194900992
0259Roy       George    46Piru Plaza          Bagopa    IL        08600     $3961.41            WHITE 03/29/19760000000000000371383952683.8272000000000000006304934900051053000000000000000157041869979648
0260Amanda    Sandoval  24Sihvus Point        Kimnoko   WV        56714     $6730.97            BLUE  03/14/20380000000000000-244990466850.816000000000000000201412692456761000000000000005426330462060544
0261Isaiah    Floyd     38Erkuk Path          Ciofjiw   KY        70977     $328.80             BLUE  05/16/1911000000000000-132362047953.3056000000000000006374234629427337000000000000002866991075426304
0262Mario     Ward      50Fovov Pass          Pohcaah   ME        82797     $6233.28            BLUE  06/17/20320000000000000500472257026.4576000000000000004026298653139073000000000000007375137361887232
0263Abbie     Harris    23Izuow River         Vohira    IL        66747     $3351.01            GREEN 12/11/19360000000000000-38535050140.0576000000000000000036761702116844000000000000005109890206924800
0264Darrell   Duncan    23Akhav Street        Recoson   NH        94717     $6934.97            RED   11/07/19280000000000000841911810549.3503000000000000006011110076318345000000000000001768566776922112
0265Harry     Green     22Gumeg Manor         Mehihsem  UT        55650     $7347.85            WHITE 07/07/1966000000000000-461285020716.2368000000000000005018327292365760000000000000000962927425224704
0266Anthony   McKenzie  24Zudkeg Extension    Asigedbe  RI        89399     $5143.36            YELLOW06/14/1927000000000000-547286445509.8368000000000000004903280110330022000000000000003287755566088192
0267Jose      Bradley   57Dasod Loop          Jihtobse  LA        47017     $3528.93            YELLOW02/02/1977000000000000-154870655379.0464000000000000000341365807167338000000000000005037036002082816
0268Alberta   Watson    29Zavbo Turnpike      Ozoneofu  DE        77794     $8621.99            YELLOW09/15/2004000000000000-317854683915.8784000000000000000030061196996744000000000000003026787533586432
0269Catherine Morrison  31Ijwah Ridge         Ubacezbu  WI        57369     $4266.44            YELLOW12/12/1987000000000000-463198658075.0336000000000000004026425176242304000000000000004220523179409408
0270Lucas     Mills     53Osiaca River        Jaogaco   NE        66157     $8894.95            GREEN 09/14/2009000000000000-243569140537.7536000000000000003528686925453923000000000000002509786381811712
0271Scott     Stephens  57Fermes Extension    Gutazole  HI        14741     $4495.96            RED   09/20/2042000000000000-488196045117.8496000000000000000030026121271125000000000000000598412124749824
0272Myrtie    Barker    34Sahuc Mill          Lanfuza   NJ        37036     $38.69              GREEN 06/06/196200000000000000410320952623.104000000000000003528467712467206000000000000004177554145542144
0273Lola      Murray    50Rokbe Drive         Gujafi    MI        57090     $1765.67            YELLOW05/03/204100000000000000243887583002.624000000000000005018661116233089000000000000005491807399968768
0274Randy     Barnett   41Rehriz Junction     Fulowe    NC        65763     $2857.01            GREEN 01/17/1999000000000000-263920015953.1008000000000000006011745220041507000000000000004642164206206976
0275Ellen     Abbott    30Secsa Heights       Onoelmu   RI        67855     $8454.63            BLUE  08/20/2011000000000000-288315721698.5088000000000000005018899418715607000000000000000243226034307072
0276Etta      Nguyen    40Pehtok Circle       Hihpudoj  CT        29612     $36.45              RED   08/27/19100000000000000-151379542802.432000000000000006334535028735529000000000000005902698043932672
0277Jerome    Moran     26Hanas Extension     Aspufak   ND        34604     $9244.01            WHITE 04/26/20390000000000000-118583629709.312000000000000006304339711334013000000000000000180139625283584
0278Jerome    Armstrong 39Lura Grove          Juvawa    SD        88757     $8714.42            RED   11/18/20480000000000000177990695020.1344000000000000006304436010088447000000000000005330073687162880
0279Gussie    Rose      26Porip Boulevard     Dinihok   NV        07564     $4434.01            BLUE  03/02/20510000000000000521441356913.0496000000000000000343906413993332000000000000002453072443867136
0280Minnie    Griffin   22Jurer Plaza         Gaabuke   MD        65005     $2987.91            WHITE 10/23/1900000000000000-385217804946.6368000000000000000201486888996004000000000000002014275153428480
0281Nelle     Reyes     49Vamdiv Manor        Irubun    MO        23296     $1070.54            RED   06/23/196500000000000000293578691575.808000000000000006243948872155845000000000000007356976279322624
0282Celia     Bryant    36Sabige Court        Tijifcim  WY        45868     $7901.05            YELLOW07/14/2029000000000000-187311985367.4496000000000000000201459934514048000000000000006114181057085440
0283Vernon    Munoz     54Secib Way           Ilirosuce GA        16618     $9441.29            YELLOW01/26/2047000000000000-877103726932.7872000000000000005018903471320451000000000000002414240851820544
0284Eliza     Curtis    33Puvloc Mill         Senerna   VT        72167     $5054.00            WHITE 04/14/2069000000000000000405081035898.88000000000000004903884307007614000000000000005392901716574208
0285Elizabeth Brewer    46Fipe River          Fokirel   WA        86497     $3630.62            GREEN 12/25/19140000000000000027445603545.9072000000000000000030042415540422000000000000001104923970240512
0286Fanny     Byrd      50Voib Ridge          Kubicdof  AZ        46131     $5778.81            RED   11/23/19750000000000000851921522497.9456000000000000004903726444617450000000000000004395817303539712
0287Shawn     Barrett   36Codas Street        Benzogvu  SD        80524     $7453.46            GREEN 03/02/204500000000000000120615583350.784000000000000000344266171475611000000000000004071601991581696
0288Lillian   Howell    65Osora Path          Ukivokzid DE        25997     $445.50             GREEN 04/05/19520000000000000811052351409.3568000000000000003528867287396609000000000000007500860647014400
0289Olivia    Bridges   32Ekhus Pike          Ikopahe   WI        42564     $1395.28            YELLOW02/19/19170000000000000155390322514.3296000000000000005018006021055724000000000000006785468003778560
0290Kathryn   Palmer    46Keeh Junction       Sululja   NY        78063     $1768.10            BLUE  02/19/20340000000000000822495953708.6464000000000000005182100240813870000000000000001102010195640320
0291Lee       Fitzgerald61Tinrup Key          Rafkabko  SC        11770     $5904.08            WHITE 04/05/199100000000000000477894262390.784000000000000006304640924154456000000000000001295215583297536
0292Janie     Mendoza   44Ibroj Pass          Tedahfib  WA        79818     $5855.05            BLUE  10/20/199800000000000000375057010393.088000000000000005610077293657085000000000000008452370243518464
0293Frances   Valdez    41Rabe Ridge          Ehazofni  KS        17199     $1128.78            BLUE  01/13/2048000000000000-232223878728.9088000000000000000201417802694482000000000000005212294000672768
0294Chris     Rodriquez 30Curuz Park          Zabnopun  KY        61518     $491.41             RED   12/27/19760000000000000632453788912.8448000000000000000201421250106825000000000000000229984492847104
0295Jason     Cruz      46Samet Key           Jagukoho  MI        12928     $2968.01            GREEN 02/28/19870000000000000385212304955.8016000000000000000201476457540994000000000000008750829313982464
0296Sue       Little    38Pepi Way            Bukajiz   HI        03827     $1693.67            BLUE  05/20/19140000000000000-424952593383.424000000000000003528018584527609000000000000001021796134420480
0297Seth      Nelson    28Lidcu Parkway       Voupinuw  CO        79835     $4568.59            GREEN 04/06/19430000000000000450669056517.7344000000000000004026414548154942000000000000000033229591543808
0298Carlos    Brewer    18Imuav Place         Edzajle   MO        09379     $7091.11            WHITE 02/25/195900000000000000830735994847.232000000000000005018893493117342000000000000000655441545658368
0299Myra      Chapman   31Kuhwu Pike          Jefrouc   MA        98425     $342.23             YELLOW01/22/1924000000000000-849755684575.6416000000000000000030094262276402000000000000007441995855298560
0300Charlotte Brown     33Lapej Road          Urobihhac OH        48134     $1830.56            RED   02/08/20480000000000000739082589385.5232000000000000005610237867594813000000000000007611671029743616
0301Rodney    Simpson   24Anisup Manor        Patisimu  WI        13992     $5304.77            RED   10/20/1954000000000000-858257144519.0656000000000000004903773529160980000000000000002596426336960512
0302Oscar     Wilson    50Cewsud Drive        Jarjuzam  IA        98296     $1562.43            RED   07/01/20500000000000000661064778147.4304000000000000006011933268744469000000000000003802989573701632
0303Allen     Moran     18Hazu Manor          Akadaf    MO        12399     $8450.54            BLUE  03/04/1928000000000000-121292897176.7808000000000000000344333578652398000000000000001215171630465024
0304Gertrude  Hines     50Beseg River         Deteub    KY        84789     $1278.11            RED   10/23/20300000000000000561464203437.6704000000000000000201446674957636000000000000007136388877123584
0305Nina      Green     25Ahju Heights        Gougpi    WI        18286     $2875.76            GREEN 02/20/19240000000000000460833268590.1824000000000000004903463455402529000000000000003645189738463232
0306Wesley    Farmer    27Guwepi Parkway      Lumaep    WA        27096     $610.97             RED   04/16/2003000000000000-742241727833.7024000000000000004903790858716661000000000000003252229645533184
0307Francis   Andrews   48Huvow Street        Ahoevaav  NH        41807     $3065.32            BLUE  10/03/194200000000000000011202254077.952000000000000006011647993163890000000000000004748947878838272
0308Dorothy   McKinney  59Kogu Pike           Ikahelev  CA        36002     $8763.63            BLUE  12/15/203900000000000000767451698561.024000000000000004903589733427670000000000000004007214924693504
0309Rosie     Jones     58Kehdun Junction     Netzajo   FL        76500     $9469.07            YELLOW12/16/206900000000000000191410735153.152000000000000003528018716841845000000000000002666145081458688
0310Luella    Neal      47Neive Boulevard     Sekiral   TX        38654     $4269.40            WHITE 08/22/19090000000000000256934858561.9456000000000000000030034223948574000000000000000175521233108992
0311Alvin     Todd      28Vodejo Drive        Cugeke    CT        28065     $3549.77            YELLOW03/17/20360000000000000-505873250123.776000000000000000201435510434223000000000000001717953548517376
0312Sarah     Fields    29Fehis Ridge         Wewkuoh   AZ        98141     $5036.06            YELLOW06/02/1964000000000000-768664475690.5984000000000000004469746282311400000000000000003041223661060096
0313Nettie    Blake     31Tajvuh Boulevard    Ebaboja   ME        67459     $4575.33            GREEN 04/15/1981000000000000-141759657856.2048000000000000006304022459381731000000000000002040604647227392
0314Jared     Rodgers   42Wamra Glen          Odeiljez  WY        80791     $3777.22            BLUE  01/23/19750000000000000109097121533.1328000000000000006334065870390744000000000000005280679803748352
0315Cordelia  French    43Iwkul Key           Dimgaffet RI        53617     $6164.54            GREEN 01/01/1907000000000000-240217601815.3472000000000000000342964518428622000000000000008642127808430080
0316Frank     Weaver    32Ifuce Path          Bitaese   MS        57314     $139.49             BLUE  08/06/1951000000000000000855046178734.08000000000000005194416109504194000000000000004210939580645376
0317Dorothy   Butler    29Engag Path          Urazole   GA        33067     $6072.43            GREEN 09/20/20500000000000000778953754358.5792000000000000006011166861865148000000000000002601526786785280
0318Nannie    Hart      29Ukweg Boulevard     Gumpekef  KY        98739     $5061.56            GREEN 05/08/19300000000000000785519115606.4257000000000000006254291481994684000000000000007240229689753600
0319Jimmy     Boone     24Veru Manor          Bofideef  OH        80637     $545.01             WHITE 04/04/1983000000000000-246281705147.5968000000000000005018388806912992000000000000007761146211729408
0320Elmer     Rice      64Wuvaci Loop         Hirucu    AR        42669     $2814.91            WHITE 12/09/19360000000000000-219684836212.736000000000000005018801363516493000000000000007148426179379200
0321Scott     Moreno    18Wufuj Place         Kaugruz   CT        52361     $2341.26            BLUE  01/14/1959000000000000-774981071509.9136000000000000000036428820259191000000000000004443890891358208
0322Sadie     Baldwin   45Pizoca Extension    Owuwomok  AK        32596     $1177.54            RED   01/17/1931000000000000-594488732103.4752000000000000006334881180328392000000000000002620236763234304
0323Kathryn   Sparks    33Cenezu Manor        Ogicoso   VA        76932     $4028.61            RED   11/28/1931000000000000-104940647638.6304000000000000000201459797905960000000000000003070237622665216
0324Jorge     Rhodes    19Veju Mill           Kodkajef  OK        70027     $4671.81            RED   03/15/1910000000000000-658574572047.5648000000000000006334572383649110000000000000004016103852343296
0325Ophelia   Bowen     32Zozcev Court        Ukowesif  CO        52772     $7672.71            GREEN 09/28/1944000000000000-711229449646.8992000000000000006304335229944665000000000000007796819878739968
0326Elnora    Hudson    30Rugut Manor         Pefewosuw MN        05920     $4885.82            RED   11/12/19430000000000000448799768890.5728000000000000000343233493318789000000000000007642834196758528
0327Rhoda     Flores    52Kimof Lane          Fazenu    ND        73893     $1124.28            BLUE  02/09/1940000000000000-844177860879.9744000000000000005018174444665881000000000000007359394834546688
0328Vernon    Peterson  47Bazror Pike         Lafkufug  KY        50987     $7642.15            GREEN 02/25/19330000000000000429504321709.6704000000000000000201417439130355000000000000005816083858587648
0329Pearl     Gibbs     44Dacuwa Center       Satheizo  ME        03957     $3094.14            GREEN 05/03/20580000000000000141013836785.2544000000000000000343452263022427000000000000005136777325051904
0330Amanda    Miles     36Fuci Glen           Kuszuleh  IN        32383     $6443.86            GREEN 04/26/20550000000000000-317826933981.184000000000000006276324310114697000000000000008639514983530496
0331Devin     Rivera    47Tease Street        Zuhufubek MS        39087     $8711.55            WHITE 04/09/19090000000000000703070345573.1711000000000000005018861992020580000000000000003161613244825600
0332Hulda     Robinson  25Esiazo Pike         Hapini    MI        94877     $3081.92            YELLOW07/09/1955000000000000-703435771373.1584000000000000004026704541167101000000000000002048704143949824
0333Hettie    McDonald  33Apta Manor          Zecivrok  IL        33013     $9741.04            WHITE 11/11/201500000000000000636830064050.176000000000000004291913770047813000000000000007424038850789376
0334Kenneth   Buchanan  42Agico Glen          Neljaccip OR        32083     $9433.92            YELLOW01/14/19820000000000000697255909444.8127000000000000000036169853461185000000000000001810870740975616
0335Luella    Kelley    32Gantig Mill         Miigaij   MI        05385     $8834.08            GREEN 07/14/19570000000000000037311466805.6576000000000000000036026088763845000000000000001762163437862912
0336Bill      Pope      50Rafu Extension      Napamu    OK        42404     $4200.42            BLUE  04/30/1906000000000000-127014458831.6672000000000000000036418461152912000000000000000290791807254528
0337Theodore  Delgado   20Libe Key            Culagsut  AR        11735     $8083.19            WHITE 05/20/2032000000000000-889233252705.8944000000000000004903127076928457000000000000005177481155837952
0338Winnie    Dennis    53Ogamav Boulevard    Subikti   OK        57241     $7205.52            RED   06/05/20320000000000000221135946697.9328000000000000005018469562553350000000000000007136460167708672
0339Amelia    Quinn     22Afgir Parkway       Ivwekeh   PA        45702     $4680.96            WHITE 11/13/19880000000000000173657643443.8144000000000000005018094298060171000000000000005990346127310848
0340Lura      Mitchell  31Tune Ridge          Wewegun   PA        09242     $9630.09            GREEN 11/27/190900000000000000-15435734974.464000000000000003528127222059774000000000000006587966690426880
0341Max       Hines     56Gobid Heights       Itueteze  NH        03359     $1914.36            YELLOW03/20/1938000000000000-864024249185.0752000000000000005129814808041544000000000000002988986452672512
0342Winnie    Sherman   43Koza Point          Dicseok   MS        27513     $4446.42            WHITE 11/18/191800000000000000870675589890.048000000000000005610959850227198000000000000003794064270950400
0343Alexander Martinez  38Gatcoc Street       Lacigit   SD        21232     $7153.93            GREEN 03/12/194000000000000000806967528390.656000000000000005101147459483620000000000000000279442467323904
0344Callie    Alexander 50Coguha Key          Evamuma   ND        30995     $7186.37            BLUE  06/19/1903000000000000-151644334666.5472000000000000005610532225226177000000000000004955953055137792
0345Billy     Dawson    42Opdib Lane          Hojsujmu  NE        43683     $8387.16            YELLOW01/28/1921000000000000000011158484418.56000000000000004903551173778491000000000000007628627487227904
0346Dustin    Burke     52Invo Terrace        Uglizod   FL        71057     $8099.63            YELLOW07/24/19670000000000000885602926146.3552000000000000005415356300432758000000000000003748821517467648
0347Charles   Hamilton  18Finuju Avenue       Lavena    OH        74857     $463.40             BLUE  10/07/194400000000000000827152356343.808000000000000006372847718911150000000000000002976315388985344
0348Barbara   Houston   24Vade View           Wauhego   NM        92870     $9339.34            YELLOW11/04/2039000000000000-257166161425.2032000000000000006200381179964415000000000000008205467243249664
0349Victor    Burke     19Urzac Point         Mupnoka   MD        86122     $3884.68            RED   10/16/2014000000000000000-98355034193.92000000000000005610046937005621000000000000006170292470677504
0350Lois      Cross     32Mipjo View          Ovorolas  MA        05920     $6493.03            BLUE  12/23/204600000000000000-473759649628.16000000000000005610174650764198000000000000007184730206240768
0351Alvin     Doyle     37Pillo Parkway       Huosonok  CO        63780     $5276.64            RED   12/18/19500000000000000700282131238.0928000000000000000030070203635336000000000000000325432282972160
0352Don       Cole      41Futpog Key          Ladkohcu  WV        68568     $6833.14            WHITE 08/24/20600000000000000481472675210.8544000000000000003528049748153412000000000000008227091522781184
0353Eddie     Sanchez   22Patguc Heights      Murmaeco  TX        68306     $4443.87            RED   04/19/2063000000000000-770079563815.3217000000000000000201490310867650000000000000001210949147033600
0354Norman    Abbott    41Zeton Heights       Jiskimhej PA        74630     $8207.11            YELLOW04/02/19360000000000000068198049670.7584000000000000000201474171849643000000000000006489754075922432
0355Caroline  Wilson    28Zifta Square        Corutbit  MT        04428     $1667.32            GREEN 06/15/19530000000000000-769079992385.536000000000000005127429097072894000000000000001602913533165568
0356Seth      Schmidt   24Wulu Circle         Sobojca   DE        72376     $7865.18            YELLOW04/23/2061000000000000-893423670683.2384000000000000000201472131878074000000000000003911770538246144
0357Daniel    Montgomery56Buznij Road         Kupruhpuj UT        54525     $2523.30            WHITE 10/15/1945000000000000-602822524325.0688000000000000000347742773454607000000000000008625048839520256
0358Agnes     Alvarez   45Ibpal Plaza         Keibaduv  NH        73603     $4674.00            YELLOW12/30/19490000000000000-174273022918.656000000000000000030086976600349000000000000008310264118116352
0359Leon      Rogers    36Osara Road          Mabagac   OK        66741     $4979.65            WHITE 04/01/20050000000000000160246321171.6608000000000000000346800414375994000000000000008189138375278592
0360Garrett   Collier   42Ifufe Parkway       Cutvavba  OH        26822     $6156.46            WHITE 12/30/20620000000000000008282849882.9312000000000000000201451388296297000000000000006447683715727360
0361David     Lamb      30Nujedu Court        Cigwughiv AK        31940     $473.90             WHITE 03/26/19930000000000000669727747316.1216000000000000004026732733616783000000000000004613104683974656
0362Lilly     Owen      61Omnof Point         Movtizhu  KS        20570     $315.50             GREEN 10/31/19750000000000000543808906959.2576000000000000000201495993133676000000000000006897254115835904
0363Lora      Ruiz      30Epli Avenue         Dewosdu   WA        11609     $682.25             WHITE 10/19/1966000000000000-891557924726.3744000000000000005465126296392855000000000000003891918909997056
0364Cynthia   Drake     54Bavli Manor         Temlohku  GA        49847     $3652.80            RED   10/20/206400000000000000693081267503.104000000000000006373451854778868000000000000008922428558278656
0365Dorothy   Brock     57Tesoji Loop         Dudeup    NY        25013     $8141.90            WHITE 12/26/1908000000000000-853765742028.3904000000000000006378758774714095000000000000000485115641724928
0366Janie     Wolfe     54Aderuv Highway      Munigni   MD        45214     $4608.19            YELLOW09/12/1931000000000000-144062842037.8624000000000000006304780870668180000000000000007325515794874368
0367Billy     Castillo  57Tirop Ridge         Cekorguj  NE        19271     $8144.26            RED   12/03/19210000000000000758139161306.7264000000000000003528845244912239000000000000000840942296760320
0368Jane      Clayton   49Puku Circle         Renubcow  MA        05635     $3994.65            GREEN 06/24/19840000000000000-866175726649.344000000000000000036644887856147000000000000005668224324599808
0369Kenneth   Alexander 49Adda Way            Rebugig   WV        85126     $7170.24            WHITE 02/26/202000000000000000837640664383.488000000000000004903843530748618000000000000000442362161528832
0370Millie    Romero    60Paliw Loop          Kicudut   FL        94887     $5565.54            BLUE  01/19/196100000000000000102001402707.968000000000000000030009946629412000000000000004198365579444224
0371Antonio   Collins   51Coug Heights        Jecobo    PA        45843     $5709.81            WHITE 12/09/20120000000000000308940609735.8848000000000000004026955104483588000000000000001816232204435456
0372Mario     Farmer    27Tizaf Plaza         Jejafzo   OR        27942     $1164.22            RED   01/24/19320000000000000406824781296.4352000000000000006292259753528419000000000000001223110674087936
0373Ryan      Hunter    28Ijdiw Trail         Jisalbu   RI        63120     $7902.85            GREEN 06/04/1965000000000000-315123873664.2048000000000000000030025001800557000000000000006560338367479808
0374Eddie     Russell   65Rognag Pike         Vopsiik   SD        58731     $9765.01            GREEN 04/03/20570000000000000656130942015.8976000000000000000030071637992384000000000000002164732972761088
0375Georgie   Olson     39Ugsa Boulevard      Wukian    CA        67089     $4087.27            BLUE  05/11/203000000000000000633824752959.488000000000000006304107814616630000000000000002518969726533632
0376Louisa    Mitchell  60Sabje Circle        Jiledat   WA        78670     $162.44             RED   08/31/194600000000000000113031497383.936000000000000003528258975872012000000000000004227601002397696
0377Jimmy     Clark     54Toebo Point         Rorkuho   NV        69963     $1330.79            YELLOW04/27/2023000000000000-148906532510.1056000000000000005018909138015103000000000000005532513671839744
0378Mollie    Thompson  64Wurpus Pass         Mipwatvuh AZ        70592     $425.75             GREEN 08/25/19680000000000000105155968945.3568000000000000006370856088787159000000000000008757068745932800
0379Stella    Hill      38Puvid Boulevard     Rezutzuc  WY        95708     $2561.10            BLUE  11/13/19850000000000000816753230531.7888000000000000005610789073490111000000000000008614200282710016
0380Allie     Sutton    59Zidpu Manor         Ibuhuzzuf NV        94631     $3840.05            RED   08/14/19270000000000000743192800106.9056000000000000004903803033409340000000000000000362401037811712
0381Duane     Manning   18Kotu Turnpike       Ezwitpic  DE        57137     $2679.55            BLUE  01/24/2035000000000000-728703370159.7184000000000000003528648736781462000000000000008485938321686528
0382Cole      Gordon    39Sukruk Way          Tigobmu   NM        70688     $380.71             RED   09/14/19700000000000000395109300017.5616000000000000005018003178413939000000000000002112288278446080
0383Ann       Mendoza   61Naket Heights       Cenafeh   WA        60718     $4061.05            RED   10/12/19010000000000000-368044385763.328000000000000004026328224613502000000000000004652210971475968
0384Elnora    Diaz      39Baus Park           Lopiza    DE        11088     $7956.12            YELLOW11/03/20660000000000000-511797924724.736000000000000004903148924056176000000000000001266691537371136
0385Harry     McBride   53Kihez Heights       Upoznel   OH        86530     $5255.08            RED   09/12/19560000000000000045216606611.0464000000000000006011315916774389000000000000006523347154239488
0386Inez      Murray    21Hojba Court         Odinapo   ME        86232     $1315.95            BLUE  11/21/1956000000000000000014097653432.32000000000000005451309055590622000000000000002235479434985472
0387Jackson   Willis    47Unpe View           Kawzesob  MI        93545     $6681.10            GREEN 02/26/2017000000000000-782972506184.0896000000000000000036125062089167000000000000002660168980496384
0388Viola     Allen     40Waope Place         Eljiip    MN        89499     $6016.58            GREEN 03/07/19790000000000000441112182181.0688000000000000006373242541823641000000000000008011984907796480
0389Raymond   Gilbert   56Uhewab Point        Samirunan NE        29283     $4645.67            YELLOW03/21/2007000000000000000659221307719.68000000000000000030033498094197000000000000007460681248931840
0390Betty     Crawford  36Lumuf Point         Dolultah  PA        76483     $6923.33            YELLOW11/24/2054000000000000-185174362528.1536000000000000000201467069130860000000000000005751498975739904
0391Isabella  Roy       56Guwa Place          Iwlipfam  AL        03049     $6024.27            RED   05/29/20600000000000000-570804452458.496000000000000005107218345189673000000000000003833627437694976
0392Rena      Page      29Cahore Key          Tajvepja  MA        32282     $602.12             RED   06/14/19460000000000000326683799951.7696000000000000005188101250665261000000000000004748194300821504
0393Georgia   Wood      21Doka Terrace        Rofgeco   GA        03584     $5022.42            WHITE 09/22/203500000000000000866289698471.936000000000000000036496257199644000000000000008108823837409280
0394Cora      Campbell  34Jepo Avenue         Vadnidi   ME        12082     $1466.79            BLUE  04/08/2036000000000000-109084402306.2528000000000000006011589338183854000000000000006719289799213056
0395Edwin     Wilson    30Padro Path          Bokeke    CT        82767     $9947.18            BLUE  07/09/19180000000000000364684549449.3184000000000000006379545994459570000000000000007044360182956032
0396Lizzie    Russell   41Noez Key            Ejaihace  WI        97893     $4177.84            YELLOW05/21/1985000000000000-194785179389.1328000000000000000201492304277946000000000000007559337855680512
0397Brent     Silva     58Wipu Loop           Cudusi    WA        03754     $4864.68            BLUE  12/27/191600000000000000587993863684.096000000000000005476735607343162000000000000003212857724370944
0398Tyler     Park      37Ephah Heights       Wedeoji   AL        47463     $7369.76            YELLOW12/05/19010000000000000511229968148.0704000000000000006370755971002827000000000000008706864248258560
0399Jackson   Ryan      31Deofe River         Tofatvuh  NE        33398     $4711.62            WHITE 05/05/20570000000000000525815506377.1136000000000000003528681300607821000000000000007908564668514304
0400Julia     Watson    51Vefci Junction      Gommujuj  MT        12570     $9322.09            WHITE 05/04/19220000000000000694902784104.8575000000000000006334177052714086000000000000003246938409402368
0401Flora     Peters    47Eceme Ridge         Ibpajgol  AR        75986     $1632.39            WHITE 08/16/202800000000000000514925508165.632000000000000005153296446741660000000000000005902208923074560
0402Lewis     Huff      28Nifo Park           Ozenebo   ME        61327     $5644.00            GREEN 09/18/1973000000000000-187541094190.2848000000000000003528229385432291000000000000008927950057504768
0403Juan      Morales   26Ibok Circle         Konworup  MT        88422     $2252.89            RED   07/18/192800000000000000717604469604.352000000000000004026438684970241000000000000006403485878714368
0404Mabel     Johnson   26Venug View          Moppoho   WI        77233     $3096.07            WHITE 10/17/1902000000000000-542758076520.8576000000000000004903510753875945000000000000001634585697845248
0405Caroline  Brewer    58Osisit Highway      Haefoaf   PA        87729     $3110.33            WHITE 08/21/1915000000000000-585754240404.6848000000000000000201400380426642000000000000004896714662084608
0406Ray       McLaughlin65Figu Highway        Fujmodu   ID        03749     $620.84             YELLOW05/04/19650000000000000640138224022.3232000000000000003528139587184030000000000000004998715322400768
0407Elnora    Simmons   26Lukic Parkway       Mawhuhwod LA        73673     $6779.70            WHITE 06/22/1943000000000000-137887057392.4352000000000000004903142366269140000000000000003593773883850752
0408Jerry     Garrett   56Ruha Terrace        Zoljadatu DC        07556     $2093.73            RED   09/20/20330000000000000583799586527.6416000000000000004852757582728974000000000000003682312428453888
0409Luis      Lynch     48Pufe River          Cikabo    AZ        35492     $1742.07            WHITE 10/10/1997000000000000-340496711312.9984000000000000000340145402988564000000000000006255624268546048
0410Ola       Walters   61Hufug Heights       Nedvevo   DC        26618     $8395.52            YELLOW03/06/197200000000000000129037410238.464000000000000003528409633269659000000000000004595561246228480
0411Bertha    Fletcher  40Efedu Parkway       Locperaz  AL        27129     $6658.65            YELLOW10/13/19320000000000000063488037539.0208000000000000005018103519228028000000000000005412249134956544
0412Virgie    Moreno    27Imeg Court          Ovorigwi  NC        18610     $2499.82            YELLOW08/31/1913000000000000-484256079098.6752000000000000000030093554701457000000000000008178056361410560
0413MargueriteOwens     25Noifi Junction      Soccafnup MA        24271     $1314.15            RED   01/19/20310000000000000-69734233643.4176000000000000005194063870014415000000000000003927627156946944
0414Joshua    Malone    63Golbav Glen         Ponulo    ME        65751     $595.04             YELLOW02/19/19920000000000000121904698910.3104000000000000005610884110007281000000000000004258379142791168
0415John      McKenzie  50Uvtin Grove         Razubut   WV        09667     $3702.97            BLUE  09/08/19830000000000000-766547222069.248000000000000005153426709846399000000000000001849482503258112
0416Alma      Washington45Cisi Square         Rergeztid NH        54909     $6077.86            RED   04/01/1919000000000000-673358966842.9824000000000000006374568365898189000000000000003744981837676544
0417Cory      Reed      48Uskeb Road          Ejuboowi  MS        49429     $2056.82            WHITE 05/17/20610000000000000-89702562109.8496000000000000004026850425890555000000000000001521690848788480
0418Eric      Boyd      55Nawcib Path         Lasafwiw  WV        65555     $1412.21            BLUE  01/05/19410000000000000-714729435693.056000000000000006334396716041732000000000000004918834882412544
0419Bryan     Sharp     50Keti Place          Awezilan  CO        68460     $2195.56            WHITE 02/23/19000000000000000-97020996380.2624000000000000004903064412654176000000000000008545791043960832
0420Alta      Wagner    26Kuov Ridge          Jahhiglos OH        05001     $2053.19            WHITE 07/29/19190000000000000-577195688853.504000000000000006304945756466369000000000000004224708299980800
0421Isabella  Patton    18Lifop Highway       Kiraciw   NV        26156     $7468.82            YELLOW10/07/203100000000000000-458192490332.16000000000000003528735228081673000000000000001337125333106688
0422Oscar     Jensen    60Varo Extension      Tibimkor  HI        19652     $3914.23            BLUE  09/23/20660000000000000667004471292.7231000000000000004026962920316166000000000000002250378057875456
0423Adrian    Jennings  58Gudoh Drive         Nefihdi   WV        85131     $7799.43            RED   07/01/1991000000000000-294453788226.3552000000000000006011269152569377000000000000006903116276432896
0424Belle     Jennings  23Ruzdos Heights      Bepjipim  IA        45905     $6211.37            RED   11/22/19560000000000000885069406483.2512000000000000006253483297284266000000000000008695711558270976
